Country,geonum,gender,age_collapsed,count,pweight,state
US,41,Male,55-64,261063,0.0010285554335818592,OR
US,41,Male,65+,340780,0.0013426304020716302,OR
US,42,Female,18-24,573557,0.002259742548039785,PA
US,42,Female,25-34,834646,0.0032884004183563525,PA
US,42,Female,35-44,747535,0.0029451940184653325,PA
US,42,Female,45-54,840447,0.0033112556298195176,PA
US,42,Female,55-64,932240,0.0036729085217068387,PA
US,42,Female,65+,1311544,0.0051673186456207346,PA
US,42,Male,18-24,591259,0.002329486204878426,PA
US,42,Male,25-34,860427,0.0033899743205683622,PA
US,42,Male,35-44,748578,0.0029493033074768963,PA
US,42,Male,45-54,819094,0.0032271274915031977,PA
US,42,Male,55-64,879291,0.0034642961114735773,PA
US,42,Male,65+,1020825,0.004021922296480932,PA
US,44,Female,18-24,57022,2.246595187127428e-4,RI
US,44,Female,25-34,72146,2.842461793176238e-4,RI
US,44,Female,35-44,61651,2.428971973652153e-4,RI
US,44,Female,45-54,72082,2.839940273552651e-4,RI
US,44,Female,55-64,77092,3.03732798158654e-4,RI
US,44,Female,65+,103090,4.061616531180361e-4,RI
US,44,Male,18-24,55690,2.1941160599615316e-4,RI
US,44,Male,25-34,74203,2.9235050098280757e-4,RI
US,44,Male,35-44,61486,2.4224711808725936e-4,RI
US,44,Male,45-54,67924,2.6761202955077586e-4,RI
US,44,Male,55-64,71466,2.81567064717563e-4,RI
US,44,Male,65+,79555,3.1343670883505055e-4,RI
US,45,Female,18-24,232651,9.166157217922613e-4,SC
US,45,Female,25-34,334042,0.0013160835282845574,SC
US,45,Female,35-44,320759,0.0012637501764718997,SC
US,45,Female,45-54,330950,0.0013039014366031047,SC
US,45,Female,55-64,361216,0.00142314567555228,SC
US,45,Female,65+,500498,0.0019718992633841383,SC
US,45,Male,18-24,254712,0.001003533291192174,SC
US,45,Male,25-34,320313,0.0012619929924842128,SC
US,45,Male,35-44,302604,0.001192221756524689,SC
US,45,Male,45-54,306059,0.001205834022617645,SC
US,45,Male,55-64,316658,0.0012475927515088862,SC
US,45,Male,65+,399256,0.0015730184981792086,SC
US,46,Female,18-24,42665,1.6809474178175392e-4,SD
US,46,Female,25-34,53898,2.123513510501107e-4,SD
US,46,Female,35-44,51529,2.0301778856842838e-4,SD
US,46,Female,45-54,47561,1.8738436690219143e-4,SD
US,46,Female,55-64,59380,2.339497425758947e-4,SD
US,46,Female,65+,78374,3.087837171546509e-4,SD
US,46,Male,18-24,42257,1.6648727302171745e-4,SD
US,46,Male,25-34,62402,2.458560430485177e-4,SD
US,46,Male,35-44,53638,2.1132698370302864e-4,SD
US,46,Male,45-54,49702,1.95819638017971e-4,SD
US,46,Male,55-64,58382,2.3001774791286435e-4,SD
US,46,Male,65+,67984,2.678484220154871e-4,SD
US,47,Female,18-24,307026,0.0012096438811739078,TN
US,47,Female,25-34,461646,0.001818827262734784,TN
US,47,Female,35-44,430012,0.0016941932755901925,TN
